
Data Series,Total Population ,Resident Population ,Singapore Citizen Population ,Permanent Resident Population ,Non-Resident Population ,Total Population Growth ,Resident Population Growth ,Population Density ,Sex Ratio ,Median Age Of Resident Population ,Median Age Of Citizen Population ,Old-Age Support Ratio:Residents Aged 15-64 Years Per Resident Aged 65 Years & Over ,Age Dependency Ratio:Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years ,Child Dependency Ratio:Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years ,Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years ,Old-Age Support Ratio:Residents Aged 20-64 Years Per Resident Aged 65 Years & Over ,Age Dependency Ratio:Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years ,Child Dependency Ratio:Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years ,Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years ,Old-Age Support Ratio:Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over ,Age Dependency Ratio:Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years ,Child Dependency Ratio:Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years ,Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years ,Old-Age Support Ratio:Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over ,Age Dependency Ratio:Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years ,Child Dependency Ratio:Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years ,Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years ,Resident Natural Increase ,Rate Of Natural Increase 
  2023,5917648,4149253,3610658,538595,1768395,5,1.9,8058,950,42.4,43,4,45.6,20.4,25.2,3.7,57.2,30,27.2,3.5,51.1,22.3,28.9,3.2,63.9,32.6,31.3,na,na
  2022,5637022,4073239,3553749,519490,1563783,3.4,2.2,7688,955,42.1,42.8,4.1,44.8,20.7,24.1,3.8,56.3,30.3,26,3.6,50,22.4,27.6,3.3,62.7,32.8,29.9,6704,1.6
  2021,5453566,3986842,3498191,488651,1466724,-4.1,-1.4,7485,960,41.8,42.5,4.3,43.9,20.8,23.1,4,55.4,30.5,24.9,3.8,48.7,22.5,26.2,3.5,61.4,33,28.5,10913,2.7
  2020,5685807,4044210,3523191,521019,1641597,-0.3,0.4,7810,957,41.5,42.2,4.6,42.3,20.7,21.6,4.3,54,30.6,23.4,4.1,46.8,22.2,24.6,3.7,59.7,32.9,26.8,13248,3.3
  2019,5703569,4026209,3500940,525269,1677360,1.2,0.8,7866,957,41.1,42,4.9,41.1,20.7,20.4,4.5,53,30.9,22.1,4.3,45.2,22,23.2,4,58.4,33.1,25.3,15042,3.7
  2018,5638676,3994283,3471936,522347,1644393,0.5,0.7,7804,959,40.8,41.7,5.2,39.9,20.7,19.2,4.8,51.9,31.1,20.8,4.6,43.7,21.9,21.8,4.2,57,33.2,23.8,14945,3.7
  2017,5612253,3965796,3439177,526619,1646457,0.1,0.8,7796,961,40.5,41.3,5.5,38.9,20.8,18.1,5.1,51.3,31.6,19.7,4.9,42.5,21.9,20.6,4.4,56.2,33.7,22.6,15681,4
  2016,5607283,3933559,3408943,524616,1673724,1.3,0.8,7797,963,40,41,5.8,38,20.9,17.1,5.4,50.7,32,18.7,5.1,41.3,21.9,19.4,4.7,55.5,34.1,21.4,18019,4.6
  2015,5535002,3902690,3375023,527667,1632312,1.2,0.8,7697,965,39.6,40.7,6.2,37.4,21.2,16.2,5.7,50.2,32.5,17.7,5.4,40.6,22.2,18.4,4.9,54.9,34.7,20.3,19221,4.9
  2014,5469724,3870739,3343030,527709,1598985,1.3,0.7,7615,967,39.3,40.4,6.6,36.7,21.5,15.2,6,49.8,33.1,16.7,5.8,39.8,22.4,17.3,5.2,54.4,35.3,19.2,19730,5.1
