,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
  Other Industries Nes,21.9,23.4,21.2,23.5,21.6,21.7,20,23.2,24.8,26.8,26.4,23.5,37.5,20.8,22.7,20.5,22.4,19.5,21.2,20.3,19.2,20.7,13.1,13.8,12.7,15.2,10.3,23.3,12.9,11.7,12.7,11.2,19.4
Managers & Administrators (Including Working Proprietors),407.7,377.7,368.3,364.9,341.6,348.8,337.5,355.8,351.2,360.5,359,367,352.4,310.8,303.3,281.2,na,231.7,242,243.2,233.3,233.3,221.4,191.3,194,191.8,184.1,159.7,155.6,148.5,140,122.8,121.7
  Manufacturing,44,39.4,37,40.4,38.4,42.7,39.3,45.5,44,57.3,56.3,56.8,60.9,55.1,57.1,50.7,na,35.5,44.9,45.6,44.1,44.6,40.9,37.9,39,37.9,37.5,30.2,31.9,32.2,29.4,24.8,23.4
  Construction,23.6,24.3,20.4,25.1,23.6,23.8,25,28.5,23.3,25.1,27.2,26,24.9,26.3,24.8,23.2,na,19.4,21.6,23.7,23.2,22.2,20.2,23.3,20.9,17.6,19.1,16.1,15.1,14.1,13.8,9.4,9.9
  Services,337.2,311,308.3,295.9,277.6,279.4,270.4,278.9,280.6,273.3,271.7,280.5,260.5,226.1,218,204.5,na,175.1,173.1,171.7,164.1,164.5,159,128.5,132.9,135,126.5,112.5,108.1,101.6,96.2,88.3,87.7
    Wholesale & Retail Trade,92.1,87,79.5,82,84.8,89.8,82.4,90.6,90.6,79.5,84.4,87.7,80.7,71.7,71.8,69.9,na,76.5,74.5,69.1,67.8,66.9,65.3,62.7,63.6,66.9,68.4,52.4,63.1,60.9,56.7,54.1,52.4
    Transportation & Storage,18.3,17.7,15.5,18.7,18.2,17.2,16.9,18.3,19.9,20.7,20.5,20.2,22.1,20.3,19.7,18.1,na,9.8,14.5,16.6,15.3,15.4,12.5,13.3,15.2,13.8,14.7,10.1,10.6,9.7,9.3,7.6,6.3
    Accommodation & Food Services,9.8,10,9.2,11.5,10.3,12.7,11.6,11.7,9.8,12.3,13.7,15,15.3,12.1,11.1,10,na,6.5,8.6,8.7,8.3,9.1,8.8,9.1,7.4,8.2,8.4,7.6,7.1,7.1,6.7,6.7,5
    Information & Communications,33.8,30.1,32.5,28.1,24.7,24.8,22.2,24.6,23.8,30.9,28.9,30.3,32.9,26.4,24.6,24.4,na,12.9,17,17.1,16.1,19,12.4,na,na,na,na,3.8,na,na,na,na,1
    Financial & Insurance Services,57.8,47.8,54.1,49.6,44.3,39.6,41.8,40.2,44.5,42,40.4,42.7,32.5,23.6,24.2,22.3,na,19,14.8,14.7,16.7,15.5,17.9,10.4,12.8,12,8.6,8.5,7.6,6.3,5.5,6.6,5.7
